Relative_Path,Baseline_SHA256,Current_SHA256,Status,Explanation
scripts/combat/combat_manager.gd,B91AF8C21DB7926C6DFBB702F46F2CC7B98E56074AF017725AEF96DEEE1D1227,B91AF8C21DB7926C6DFBB702F46F2CC7B98E56074AF017725AEF96DEEE1D1227,UNCHANGED,
scripts/combat/combat_manager.gd.uid,6C69C5600A811CA5AFB0DB230244683451AE55BA437CC9115EEE60EA68E4BBC5,6C69C5600A811CA5AFB0DB230244683451AE55BA437CC9115EEE60EA68E4BBC5,UNCHANGED,
scripts/combat/combat_state.gd,104A0EDDB7062D2C68D5403853934E615B609F89DEF1625E47C086FE95407A1F,104A0EDDB7062D2C68D5403853934E615B609F89DEF1625E47C086FE95407A1F,UNCHANGED,
scripts/combat/combat_state.gd.uid,991B10AF6B76B40471A81914DC4067B83539186C7B00192FB9585F515223619F,991B10AF6B76B40471A81914DC4067B83539186C7B00192FB9585F515223619F,UNCHANGED,
scripts/combat/damage_calculator.gd,3A6E8F8CBCA0F39C222CEEAC7A4DA51D1CA67492152D4BAF2F9783566D379840,3A6E8F8CBCA0F39C222CEEAC7A4DA51D1CA67492152D4BAF2F9783566D379840,UNCHANGED,
scripts/combat/damage_calculator.gd.uid,24B6A2C675D3BA58438F36528794ADA63BF58943E3312A1C5E6410D8AA36B547,24B6A2C675D3BA58438F36528794ADA63BF58943E3312A1C5E6410D8AA36B547,UNCHANGED,
scripts/data/item_catalog.gd,6F4B3E43A5F91E958CA4D7E3E48492A40E1E29CFF839DF29B124C7473F58DEBB,6F4B3E43A5F91E958CA4D7E3E48492A40E1E29CFF839DF29B124C7473F58DEBB,UNCHANGED,
scripts/data/item_catalog.gd.uid,2A3C5E999396BB3A8C80144321B4C005CC58B009F7CA06151F156441487D8CDA,2A3C5E999396BB3A8C80144321B4C005CC58B009F7CA06151F156441487D8CDA,UNCHANGED,
scripts/data/lore_data.gd,FC4A4F7D36DFBBA5213871EB803E456919CF1EEEC401E1D430F92C8A4E39E75C,FC4A4F7D36DFBBA5213871EB803E456919CF1EEEC401E1D430F92C8A4E39E75C,UNCHANGED,
scripts/data/lore_data.gd.uid,C00BBEF7330FE374E6756F89F47B7C5B569FFD599179CC47F0AB50A2D7D70503,C00BBEF7330FE374E6756F89F47B7C5B569FFD599179CC47F0AB50A2D7D70503,UNCHANGED,
scripts/equipment/equipment_factory.gd,97E051A9D2FFB1F0441086ADD1EF57379F9D8CF622D94BFC07068C78B7047F02,97E051A9D2FFB1F0441086ADD1EF57379F9D8CF622D94BFC07068C78B7047F02,UNCHANGED,
scripts/equipment/equipment_factory.gd.uid,8168DC7117BC9BE8950B46289A78C935590833F703B60C33071B64E67E7ED9B8,8168DC7117BC9BE8950B46289A78C935590833F703B60C33071B64E67E7ED9B8,UNCHANGED,
scripts/equipment/equipment_modifier.gd,59A384E02104C05E09D361C46A5F6B90EBE7F04770D3C79C7A2926C6BF0DD547,59A384E02104C05E09D361C46A5F6B90EBE7F04770D3C79C7A2926C6BF0DD547,UNCHANGED,
scripts/equipment/equipment_modifier.gd.uid,8BA01A3110BD298E51A526A8AF783259B2607FFD932E04C601A43EA9DBDE810B,8BA01A3110BD298E51A526A8AF783259B2607FFD932E04C601A43EA9DBDE810B,UNCHANGED,
scripts/equipment/loot_system.gd,E4B24B4E86CE12D1CB562288EBEC8B8AD8B455D6D9B62F39BFD38D062522C5FF,E4B24B4E86CE12D1CB562288EBEC8B8AD8B455D6D9B62F39BFD38D062522C5FF,UNCHANGED,
scripts/equipment/loot_system.gd.uid,05089EB2E866EC88A087300D9F8262AA16E85CA25B9DE5717254EC669CEA09F6,05089EB2E866EC88A087300D9F8262AA16E85CA25B9DE5717254EC669CEA09F6,UNCHANGED,
scripts/game_data.gd,35C7818D79797EBB583EC2647B18E4B75EEAFA7583BAC0C1F0DE67354ACB03AC,35C7818D79797EBB583EC2647B18E4B75EEAFA7583BAC0C1F0DE67354ACB03AC,UNCHANGED,
scripts/game_data.gd.uid,BDFD8B5D9B6439E32B3EEF3D9B2B5D0E3FD8132E7A9AC86CD3DFF14B18B74FD3,BDFD8B5D9B6439E32B3EEF3D9B2B5D0E3FD8132E7A9AC86CD3DFF14B18B74FD3,UNCHANGED,
scripts/game_state.gd,3F635997C3897213DD71953D6BD1AE7231504FAF7BA0AA683BE3D71BF69E0122,3F635997C3897213DD71953D6BD1AE7231504FAF7BA0AA683BE3D71BF69E0122,UNCHANGED,
scripts/game_state.gd.uid,FF124662A552FC99EB5084CA44F124456C6B92144EB848591214C64E4A0765BD,FF124662A552FC99EB5084CA44F124456C6B92144EB848591214C64E4A0765BD,UNCHANGED,
scripts/map/map_generator.gd,62D6AC36E343943E44EF9661B8EE8B43F730B9C4AE35291E34BA3DEAF701A3B4,62D6AC36E343943E44EF9661B8EE8B43F730B9C4AE35291E34BA3DEAF701A3B4,UNCHANGED,
scripts/map/map_generator.gd.uid,D52C02A574D894E8C8DBA698353B14C06CB94A7A1DE12241F92B3B7D52D10865,D52C02A574D894E8C8DBA698353B14C06CB94A7A1DE12241F92B3B7D52D10865,UNCHANGED,
scripts/sfx.gd,9F39D75E4A6D1BE8500F82F450A8ABEA0A5B8A0CAE020ED124BE95D73F089ED6,9F39D75E4A6D1BE8500F82F450A8ABEA0A5B8A0CAE020ED124BE95D73F089ED6,UNCHANGED,
scripts/sfx.gd.uid,9B722C264219203A7688D46940C78019D9080939325A8BB5DAD2522477A6D637,9B722C264219203A7688D46940C78019D9080939325A8BB5DAD2522477A6D637,UNCHANGED,
scripts/signal_bus.gd,F8C5C8B707CEAED0F57384EE7B8278BFBF454B749468ACBC923C3DD640AAF785,F8C5C8B707CEAED0F57384EE7B8278BFBF454B749468ACBC923C3DD640AAF785,UNCHANGED,
scripts/signal_bus.gd.uid,8FC684FD8E2402FCE0D15A2FD52A43B1F27CDD55E93A85931BEC741D05891378,8FC684FD8E2402FCE0D15A2FD52A43B1F27CDD55E93A85931BEC741D05891378,UNCHANGED,
