asset_id,path,bytes,sha256,catalog_id,version,trace_status
PATCH4-ASSET-00001,00_Baseline_Audit/ImageGen_Prompt_Register.csv,357,992b6b7e2ff87311bfcea4398a288c7201a366ecf3b7d68d8727747a35b94cdf,,PATCH4-1.0.0,PASS
PATCH4-ASSET-00002,00_Baseline_Audit/Input_Integrity_Register.csv,353,40bf81334aee5fec75aeb3194e02aa0217f0e4d8748c68aca552d8bc78911361,,PATCH4-1.0.0,PASS
PATCH4-ASSET-00003,00_Baseline_Audit/LOOP1_Fact_Audit.md,761,9f8e7b86400b23996dd41b2c0aff09a447279ac2f0797ddb6aa81d5b80644833,,PATCH4-1.0.0,PASS
PATCH4-ASSET-00004,00_Baseline_Audit/PATCH4_Disposition_Register.csv,383308,47e347f1e39c7c314148dec710bf850810a995e6e9a6fb21f9cd5232498cfcda,,PATCH4-1.0.0,PASS
PATCH4-ASSET-00005,00_Baseline_Audit/Source_Truth_Catalog_175.csv,26017,fde9b3b2d76d9f820d04e028499a02c68bd1701c0a965862b8fdee96b87d7f74,,PATCH4-1.0.0,PASS
PATCH4-ASSET-00006,01_Frozen_Hero/Frozen_Hero_Hash_Register.csv,3328,3b17a73c0f71846210a501d523a1cc4503dd719293e4043ce3c82192a7196a34,,PATCH4-1.0.0,PASS
PATCH4-ASSET-00007,01_Frozen_Hero/Hero_4Frame_Anchor_Map.csv,15207,5742377bccc60d146dd1c70e80d21825e150b35fdf6f586ec110080bbc372981,,PATCH4-1.0.0,PASS
PATCH4-ASSET-00008,01_Frozen_Hero/Hero_4Frame_Anchor_Overlay.png,1482,6314be8df235b4cf28d6d35c011935db1cd5e1e103c19b02369fc32e97ba977a,,PATCH4-1.0.0,PASS
PATCH4-ASSET-00009,01_Frozen_Hero/Hero_Layer_Order.csv,330,a9ca2b44b5e8a3deb9dd33359b35210c522d65f44a992b1c9af552b79b382bea,,PATCH4-1.0.0,PASS
PATCH4-ASSET-00010,01_Frozen_Hero/Hero_Layer_Order.md,631,5988577bcc8810f53602fa970f46bedb0500fa8ab3b1dd30f8e65b8047c13041,,PATCH4-1.0.0,PASS
