file,patch3_sha256,patch4_sha256,hash_equal,status
01_Frozen_Hero/Hero_4Frame_Anchor_Map.csv,5742377bccc60d146dd1c70e80d21825e150b35fdf6f586ec110080bbc372981,5742377bccc60d146dd1c70e80d21825e150b35fdf6f586ec110080bbc372981,YES,PASS
01_Frozen_Hero/Hero_4Frame_Anchor_Overlay.png,6314be8df235b4cf28d6d35c011935db1cd5e1e103c19b02369fc32e97ba977a,6314be8df235b4cf28d6d35c011935db1cd5e1e103c19b02369fc32e97ba977a,YES,PASS
01_Frozen_Hero/Hero_Layer_Order.csv,a9ca2b44b5e8a3deb9dd33359b35210c522d65f44a992b1c9af552b79b382bea,a9ca2b44b5e8a3deb9dd33359b35210c522d65f44a992b1c9af552b79b382bea,YES,PASS
01_Frozen_Hero/Hero_Layer_Order.md,5988577bcc8810f53602fa970f46bedb0500fa8ab3b1dd30f8e65b8047c13041,5988577bcc8810f53602fa970f46bedb0500fa8ab3b1dd30f8e65b8047c13041,YES,PASS
01_Frozen_Hero/Hero_Neutral_4Frame_4x_NEAREST.png,a0cf947b399510839d9b4bc27b4193162c43990f8329a017c681381eb0d87df6,a0cf947b399510839d9b4bc27b4193162c43990f8329a017c681381eb0d87df6,YES,PASS
01_Frozen_Hero/Hero_Neutral_4Frame_Horizontal_REVIEW_ONLY.png,7d1c683a43fe78f26e01260a8cf2d94495dfbf10b003a48a7d31319316701412,7d1c683a43fe78f26e01260a8cf2d94495dfbf10b003a48a7d31319316701412,YES,PASS
01_Frozen_Hero/Hero_Neutral_Arms_40x208.png,003b7e10e1334b6524592039cfe8ef5a8c5e7bed11b38bf247d9efb1c9e23558,003b7e10e1334b6524592039cfe8ef5a8c5e7bed11b38bf247d9efb1c9e23558,YES,PASS
01_Frozen_Hero/Hero_Neutral_Base_Composite_40x208.png,37ba9ca9a8abe05cb25926e54575b1cb86a52842bef9f48b8aea11a3e7639026,37ba9ca9a8abe05cb25926e54575b1cb86a52842bef9f48b8aea11a3e7639026,YES,PASS
01_Frozen_Hero/Hero_Neutral_Body_40x208.png,2b17269c7077f043fad45039eaa62b9140490f3198a2151cee8173ed5fffd3d4,2b17269c7077f043fad45039eaa62b9140490f3198a2151cee8173ed5fffd3d4,YES,PASS
01_Frozen_Hero/Hero_Neutral_Face_40x208.png,0a4a38719a28c6f4ba7b17c4434c4e36bd253e7caefd96732add6e66b18d02e4,0a4a38719a28c6f4ba7b17c4434c4e36bd253e7caefd96732add6e66b18d02e4,YES,PASS
01_Frozen_Hero/Hero_Neutral_HeadHair_40x208.png,e2ec8c02b553578a2ea30f86f15c858ac69a74c3d8e024cf1043bad2d6821191,e2ec8c02b553578a2ea30f86f15c858ac69a74c3d8e024cf1043bad2d6821191,YES,PASS
01_Frozen_Hero/Ranged_Arm_Poses/hunting_bow_arms_back_40x208.png,5b812bca3c2d4dd1fff67f5b7eb36620e398c04f95a7f4fc11b99d4381d6c6f3,5b812bca3c2d4dd1fff67f5b7eb36620e398c04f95a7f4fc11b99d4381d6c6f3,YES,PASS
01_Frozen_Hero/Ranged_Arm_Poses/hunting_bow_arms_combined_40x208.png,567ead92555c56603c4026c4b7711bb33bedc88bbb1c3c512d77ab18a54be684,567ead92555c56603c4026c4b7711bb33bedc88bbb1c3c512d77ab18a54be684,YES,PASS
01_Frozen_Hero/Ranged_Arm_Poses/hunting_bow_arms_front_40x208.png,71f00633a4b4bc1c046d973b6d0d5ecd9969c8ab0976af419a768e242dca64e2,71f00633a4b4bc1c046d973b6d0d5ecd9969c8ab0976af419a768e242dca64e2,YES,PASS
01_Frozen_Hero/Ranged_Arm_Poses/longbow_arms_back_40x208.png,0862da765b034dee78e2588c2a6933cafe0e199836434df20e09ea5372415083,0862da765b034dee78e2588c2a6933cafe0e199836434df20e09ea5372415083,YES,PASS
01_Frozen_Hero/Ranged_Arm_Poses/longbow_arms_combined_40x208.png,bfed2932ab7df47f0ff660740bb2127127282bde8c65ad11fabdd1462a6f9a50,bfed2932ab7df47f0ff660740bb2127127282bde8c65ad11fabdd1462a6f9a50,YES,PASS
01_Frozen_Hero/Ranged_Arm_Poses/longbow_arms_front_40x208.png,379228e308067112c3428a18003a65ce006756e815f4d1638670d9192c16ba46,379228e308067112c3428a18003a65ce006756e815f4d1638670d9192c16ba46,YES,PASS
